rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
60,whinderssonnunes,44200000,4274709210.0,Comedy,whinderssonnunes,558,Brazil,BR,Comedy,1741.0,4.0,1.0,26683000.0,6700.0,106700.0,80100.0,1300000.0,,2013.0,Jan,21.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
74,Luisito Comunica,40600000,8670473639.0,Comedy,Luis Arturo Villar Sudek,0,Mexico,MX,Comedy,3612215.0,3021.0,,,0.0,0.0,0.0,0.0,,2010.0,Jun,18.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
79,CarryMinati,39200000,3294013141.0,Comedy,CarryMinati,186,India,IN,Comedy,2487.0,21.0,2.0,78688000.0,19700.0,314800.0,236100.0,3800000.0,700000.0,2014.0,Oct,30.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
95,Jkk Entertainment,37200000,16402066717.0,Comedy,Jkk Entertainment,220,India,IN,Comedy,178.0,24.0,3.0,49861000.0,12500.0,199400.0,149600.0,2400000.0,100000.0,2017.0,Mar,20.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
105,MrBeast Gaming,36100000,6331332547.0,Gaming,MrBeastGaming,5,,,Comedy,4057305.0,,4880.0,32.0,0.01,0.13,0.1,2.0,1.0,2011.0,Feb,26.0,,,,,,
127,KHANDESHI MOVIES,33500000,11405809704.0,Comedy,KHANDESHI MOVIES,217,India,IN,Comedy,357.0,35.0,4.0,24736000.0,6200.0,98900.0,74200.0,1200000.0,100000.0,2013.0,Nov,11.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
138,Mr Bean,32100000,10602236110.0,Shows,Mr Bean,3091,United Kingdom,GB,Comedy,400.0,4.0,5.0,56534000.0,14100.0,226100.0,169600.0,2700000.0,100000.0,2006.0,Jan,4.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
152,YOLO AVENTURAS,31200000,9673649438.0,People & Blogs,YOLO AVENTURAS,65,Venezuela,VE,Comedy,3361188.0,522.0,2270.0,3589.0,0.9,14.0,11.0,172.0,100.0,2018.0,Dec,16.0,79.3,28515829.0,8.8,25162368.0,6.42375,-66.58973
153,The Tonight Show Starring Jimmy Fallon,31200000,17111726160.0,Comedy,The Tonight Show Starring Jimmy Fallon,8976,United States,US,Comedy,166.0,44.0,6.0,22511000.0,0.0,0.0,0.0,0.0,100000.0,2006.0,Jan,8.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
172,ashish chanchlani vines,29800000,4457913639.0,Comedy,ashish chanchlani vines,151,India,IN,Comedy,1622.0,42.0,8.0,26171000.0,6500.0,104700.0,78500.0,1300000.0,100000.0,2009.0,Jul,6.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
178,AuronPlay,29200000,4079141673.0,Comedy,AuronPlay,404,Spain,ES,Comedy,1852.0,3.0,9.0,12143000.0,3000.0,48600.0,36400.0,582900.0,,2006.0,Feb,28.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
207,enchufetv,26700000,10317306313.0,Comedy,enchufetv,975,Colombia,CO,Comedy,420.0,5.0,11.0,24363000.0,6100.0,97500.0,73100.0,1200000.0,,2011.0,Nov,13.0,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333
212,Alan Chikin Chow,26400000,27006526665.0,Comedy,Alan Chikin Chow,865,United States,US,Comedy,61.0,63.0,12.0,1046000000.0,261500.0,4200000.0,3100000.0,50200000.0,1300000.0,2020.0,Feb,3.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
217,Smosh,26100000,10435474336.0,Comedy,Smosh,1619,United States,US,Comedy,410.0,65.0,13.0,68156000.0,17000.0,272600.0,204500.0,3300000.0,400000.0,2005.0,Nov,19.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
259,Daniel LaBelle,24100000,12916159065.0,Comedy,Daniel LaBelle,287,,,Comedy,290.0,,14.0,398765000.0,99700.0,1600000.0,1200000.0,19100000.0,700000.0,2009.0,Mar,11.0,,,,,,
264,Spider Slack,24000000,13943030228.0,Comedy,Spider Slack,901,Brazil,BR,Comedy,252.0,13.0,14.0,761451000.0,190400.0,3000000.0,2300000.0,36500000.0,1100000.0,2020.0,May,18.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
295,Tsuriki Show,23000000,31494513067.0,Entertainment,Tsuriki Show,2905,Germany,DE,Comedy,34.0,1.0,15.0,756717000.0,189200.0,3000000.0,2300000.0,36300000.0,800000.0,2019.0,Jul,10.0,70.2,83132799.0,3.04,64324835.0,51.165691,10.451526
324,Topper Guild,21900000,15552070846.0,Comedy,Topper Guild,816,United States,US,Comedy,204.0,91.0,16.0,687028000.0,171800.0,2700000.0,2100000.0,33000000.0,1900000.0,2014.0,Jul,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
363,Canal Canalha,20800000,1870608170.0,Comedy,Canal Canalha,288,Brazil,BR,Comedy,5407.0,18.0,18.0,23897000.0,6000.0,95600.0,71700.0,1100000.0,,2011.0,Apr,8.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
389,dednahype,20200000,20919403720.0,Comedy,dednahype,1935,Latvia,LV,Comedy,108.0,1.0,19.0,1245000000.0,311200.0,5000000.0,3700000.0,59800000.0,1200000.0,2020.0,Mar,20.0,88.1,1912789.0,6.52,1304943.0,56.879635,24.603189
390,Marta and Rustam,20200000,19694265358.0,Comedy,Marta and Rustam,761,United States,US,Comedy,126.0,106.0,20.0,452250000.0,113100.0,1800000.0,1400000.0,21700000.0,600000.0,2021.0,Jun,21.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
