rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
30,Movieclips,59500000,59316472754.0,Film & Animation,Movieclips,39113,United States,US,Film,11.0,9.0,3.0,114668000.0,28700.0,458700.0,344000.0,5500000.0,100000.0,2006.0,Apr,28.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
47,Get Movies,47500000,30788679536.0,Entertainment,Get Movies,3322,Russia,RU,Film,35.0,1.0,4.0,306540000.0,76600.0,1200000.0,919600.0,14700000.0,700000.0,2006.0,Dec,16.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
62,Alan Walker,43700000,12884264778.0,Music,alanwalker,8,Thailand,TH,Film,4056116.0,4026.0,5270.0,22.0,0.01,0.09,0.07,1.0,,2006.0,May,12.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
68,Masha and The Bear,42400000,24519022988.0,Shows,Masha and The Bear,1218,United States,US,Film,74.0,20.0,5.0,670459000.0,167600.0,2700000.0,2000000.0,32200000.0,1000000.0,2014.0,Sep,17.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
101,PowerKids TV,36500000,18961241905.0,Film & Animation,PowerKids TV,5621,,,Film,139.0,1.0,6.0,318702000.0,79700.0,1300000.0,956100.0,15300000.0,600000.0,2014.0,Aug,6.0,,,,,,
113,Genevieve's Playhouse - Learning Videos for Kids,34900000,25607397308.0,Education,Genevieve's Playhouse - Learning Videos for ï¿½,617,United States,US,Film,69.0,36.0,7.0,335307000.0,83800.0,1300000.0,1000000.0,16100000.0,300000.0,2016.0,Jan,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
119,Jingle Toons,34000000,11351015824.0,Film & Animation,Jingle Toons,240,India,IN,Film,360.0,32.0,8.0,179903000.0,45000.0,719600.0,539700.0,8600000.0,600000.0,2013.0,Jan,24.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
121,Galinha Pintadinha,33800000,27274550757.0,Film & Animation,Galinha Pintadinha,66,Brazil,BR,Film,54.0,8.0,9.0,403508000.0,100900.0,1600000.0,1200000.0,19400000.0,200000.0,2006.0,Aug,30.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
183,Aditya Movies,28400000,10062770060.0,Movies,Aditya Movies,5436,India,IN,Film,432.0,45.0,11.0,227355000.0,56800.0,909400.0,682100.0,10900000.0,500000.0,2012.0,Feb,23.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
187,Shemaroo Movies,28200000,7600740993.0,Entertainment,Shemaroo Movies,3009,India,IN,Film,721.0,46.0,13.0,184966000.0,46200.0,739900.0,554900.0,8900000.0,500000.0,2011.0,Mar,1.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
189,Drake,28100000,15318895118.0,Music,drake,3,,,Film,4011030.0,,4909.0,31.0,0.01,0.12,0.09,1.0,1.0,2005.0,Sep,23.0,,,,,,
190,Goldmines Dishoom,28000000,8603468420.0,Film & Animation,Goldmines Dishoom,3878,,,Film,587.0,,14.0,129211000.0,32300.0,516800.0,387600.0,6200000.0,400000.0,2016.0,Nov,26.0,,,,,,
211,Goldmines Bollywood,26400000,8595760553.0,Film & Animation,Goldmines Bollywood,3622,India,IN,Film,588.0,50.0,15.0,99677000.0,24900.0,398700.0,299000.0,4800000.0,400000.0,2015.0,Jul,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
235,WB Kids,25200000,11081602368.0,People & Blogs,WB Kids,2025,United States,US,Film,375.0,70.0,16.0,140319000.0,35100.0,561300.0,421000.0,6700000.0,300000.0,2015.0,Mar,31.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
254,Pen Movies,24300000,6608773195.0,Film & Animation,Pen Movies,1667,India,IN,Film,903.0,53.0,17.0,94853000.0,23700.0,379400.0,284600.0,4600000.0,300000.0,2014.0,Mar,25.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
