rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
2,YouTube Movies,170000000,0.0,Film & Animation,youtubemovies,1,United States,US,Games,4055159.0,7670.0,7423.0,12.0,0.0,0.05,0.04,0.58,,2006.0,Mar,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
13,Gaming,93600000,0.0,,Gaming,0,,,Games,4057944.0,,1.0,,0.0,0.0,0.0,0.0,,2013.0,Dec,15.0,,,,,,
45,JuegaGerman,48100000,14631710289.0,Gaming,JuegaGerman,2052,Chile,CL,Games,237.0,1.0,2.0,66388000.0,16600.0,265600.0,199200.0,3200000.0,200000.0,2013.0,May,19.0,88.5,18952038.0,7.09,16610135.0,-35.675147,-71.542969
53,Fernanfloo,46100000,10323391593.0,Gaming,Fernanfloo,543,El Salvador,SV,Games,419.0,1.0,3.0,33842000.0,8500.0,135400.0,101500.0,1600000.0,200000.0,2011.0,May,2.0,29.4,6453553.0,4.11,4694702.0,13.794185,-88.89653
78,LUCCAS NETO - LUCCAS TOON,39400000,22302547082.0,People & Blogs,LUCCAS NETO- LUCCAS TOON,1,,,Games,4057895.0,,7498.0,2.0,0.0,0.01,0.01,0.1,,2021.0,Mar,25.0,,,,,,
82,Mikecrack,39100000,16118181673.0,Gaming,Mikecrack,1876,Spain,ES,Games,188.0,1.0,4.0,264108000.0,66000.0,1100000.0,792300.0,12700000.0,800000.0,2015.0,Jul,13.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
86,shfa,38400000,21528116909.0,People & Blogs,ýýýýýýýýýý ýýýýýý,982,Saudi Arabia,SA,Games,150882.0,774.0,1454.0,1589000.0,397.0,6400.0,4800.0,76300.0,2000.0,2018.0,May,24.0,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162
111,Markiplier,35200000,20297931219.0,Gaming,Markiplier,5490,United States,US,Games,119.0,34.0,8.0,127329000.0,31800.0,509300.0,382000.0,6100000.0,100000.0,2012.0,May,26.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
115,Techno Gamerz,34400000,9690499664.0,Gaming,TechnoGamerz,1,,,Games,4057311.0,,7489.0,86.0,0.02,0.34,0.26,4.0,3.0,2010.0,May,19.0,,,,,,
120,VEGETTA777,33800000,15432929204.0,Gaming,VEGETTA777,7606,Spain,ES,Games,211.0,2.0,10.0,39094000.0,9800.0,156400.0,117300.0,1900000.0,,2008.0,Mar,2.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
