rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
64,Shakira,43500000,27568757295.0,People & Blogs,Shakira,326,Colombia,CO,Howto,52.0,1.0,3.0,353412000.0,88400.0,1400000.0,1100000.0,17000000.0,500000.0,2005.0,Oct,16.0,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333
143,GENIAL,31800000,6762424690.0,Howto & Style,GENIAL,6734,Mexico,MX,Howto,884.0,4.0,4.0,31455000.0,7900.0,125800.0,94400.0,1500000.0,,2017.0,Jun,1.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
203,Gulshan Kalra,27100000,12732444881.0,Howto & Style,Gulshan Kalra,545,,,Howto,296.0,,5.0,502779000.0,125700.0,2000000.0,1500000.0,24100000.0,1300000.0,2018.0,Apr,9.0,,,,,,
244,Yuya,24800000,2588501115.0,Howto & Style,Yuya,672,Mexico,MX,Howto,3505.0,9.0,6.0,336291.0,84.0,1300.0,1000.0,16100.0,,2009.0,Sep,20.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
248,Chloe Ting,24700000,2994726412.0,Howto & Style,Chloe Ting,412,Australia,AU,Howto,2897.0,2.0,7.0,23263000.0,5800.0,93100.0,69800.0,1100000.0,,2011.0,Aug,17.0,113.1,25766605.0,5.27,21844756.0,-25.274398,133.775136
271,Troom Troom,23800000,10414479943.0,Howto & Style,Troom Troom,2425,United States,US,Howto,412.0,80.0,8.0,98052000.0,24500.0,392200.0,294200.0,4700000.0,100000.0,2015.0,Sep,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
335,Village Cooking Channel,21600000,5863377051.0,Howto & Style,Village Cooking Channel,219,India,IN,Howto,1082.0,66.0,9.0,194604000.0,48700.0,778400.0,583800.0,9300000.0,400000.0,2018.0,Apr,25.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
351,Tasty,21100000,5783557209.0,Howto & Style,Tasty,4728,United States,US,Howto,1113.0,99.0,10.0,24691000.0,6200.0,98800.0,74100.0,1200000.0,,2016.0,Jan,22.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
366,5-Minute Crafts DIY,20700000,5091618606.0,Howto & Style,5-Minute Crafts DIY,5062,United States,US,Howto,1334.0,103.0,11.0,20012000.0,5000.0,80000.0,60000.0,960600.0,,2018.0,Jan,18.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
398,5-Minute Crafts PLAY,20100000,6119294270.0,Howto & Style,5-Minute Crafts PLAY,5491,United States,US,Howto,1014.0,108.0,12.0,105784000.0,26400.0,423100.0,317400.0,5100000.0,100000.0,2017.0,Oct,30.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
411,Troom Troom Es,19700000,7452667615.0,People & Blogs,Troom Troom Es,2912,,,Howto,747.0,,13.0,29387000.0,7300.0,117500.0,88200.0,1400000.0,100000.0,2016.0,Feb,5.0,,,,,,
425,Manoj  parihar,19300000,264228052.0,,Manoj  parihar,335,India,IN,Howto,48846.0,75.0,14.0,37167000.0,9300.0,148700.0,111500.0,1800000.0,300000.0,2021.0,Mar,2.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
435,SUPER SLICK SLIME SAM,19000000,7229175322.0,Howto & Style,SUPER SLICK SLIME SAM,903,Mexico,MX,Howto,786.0,15.0,111.0,123338000.0,30800.0,493400.0,370000.0,5900000.0,200000.0,2018.0,Jan,23.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
471,INCRï¿½ï¿,18200000,3213324455.0,People & Blogs,INCRï¿½ï¿,6903,Brazil,BR,Howto,2610.0,25.0,15.0,18045000.0,4500.0,72200.0,54100.0,866200.0,,2017.0,Jun,20.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
508,ýýýýýýýýý Liziqi,17600000,2977741577.0,Howto & Style,ýýýýýýýýý Liziqi,128,China,CN,Howto,2917.0,1.0,16.0,22354000.0,5600.0,89400.0,67100.0,1100000.0,100000.0,2017.0,Aug,22.0,50.6,1397715000.0,4.32,842933962.0,35.86166,104.195397
523,HowToBasic,17300000,3684816159.0,Howto & Style,HowToBasic,582,Australia,AU,Howto,2146.0,6.0,17.0,15525000.0,3900.0,62100.0,46600.0,745200.0,,2011.0,Dec,8.0,113.1,25766605.0,5.27,21844756.0,-25.274398,133.775136
609,jeffreestar,15900000,2609358468.0,Howto & Style,jeffreestar,433,United States,US,Howto,3474.0,142.0,20.0,2006000.0,502.0,8000.0,6000.0,96300.0,,2006.0,Feb,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
628,5-Minute Crafts FAMILY,15600000,6165757696.0,People & Blogs,5-Minute Crafts FAMILY,4245,United States,US,Howto,1005.0,145.0,21.0,27382000.0,6800.0,109500.0,82100.0,1300000.0,,2018.0,Dec,13.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
638,ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý,15500000,4499826716.0,Howto & Style,ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý,5183,Egypt,EG,Howto,1597.0,1.0,22.0,32916000.0,8200.0,131700.0,98700.0,1600000.0,100000.0,2017.0,Dec,8.0,35.2,100388073.0,10.76,42895824.0,26.820553,30.802498
646,Kerajinan 5-Menit,15400000,4750420071.0,People & Blogs,Kerajinan 5-Menit,4186,Indonesia,ID,Howto,1461.0,23.0,23.0,19740000.0,4900.0,79000.0,59200.0,947500.0,,2018.0,Nov,21.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
708,ýýýýýýýý ýýýýýýýý,14800000,7018015062.0,Howto & Style,ýýýýýýýý ýýýýýýýý,2387,Ukraine,UA,Howto,828.0,3.0,25.0,47117000.0,11800.0,188500.0,141400.0,2300000.0,,2015.0,Oct,12.0,82.7,44385155.0,8.88,30835699.0,48.379433,31.16558
714,5-Minute Crafts Recycle,14800000,8866012877.0,People & Blogs,5-Minute Crafts Recycle,3867,United States,US,Howto,554.0,153.0,25.0,53181000.0,13300.0,212700.0,159500.0,2600000.0,,2019.0,Jun,7.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
740,IDEIAS INCRï¿½ï¿½,14500000,3551889957.0,Howto & Style,IDEIAS INCRï¿½ï¿½,5430,Brazil,BR,Howto,2269.0,41.0,26.0,2838000.0,709.0,11400.0,8500.0,136200.0,,2017.0,Oct,30.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
762,Rosanna Pansino,14400000,4597228794.0,Howto & Style,Rosanna Pansino,1248,United States,US,Howto,1552.0,157.0,27.0,26683000.0,6700.0,106700.0,80000.0,1300000.0,,2010.0,Apr,8.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
818,123 GO! Spanish,13800000,5019136690.0,People & Blogs,123 GO! Spanish,520,Mexico,MX,Howto,1361.0,30.0,28.0,26519000.0,6600.0,106100.0,79600.0,1300000.0,100000.0,2019.0,Mar,13.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
826,NishaMadhulika,13700000,2939201386.0,Howto & Style,NishaMadhulika,2158,India,IN,Howto,2972.0,113.0,29.0,22235000.0,5600.0,88900.0,66700.0,1100000.0,100000.0,2009.0,Aug,2.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
841,Anaysa,13500000,3445794123.0,Howto & Style,Anaysa,591,India,IN,Howto,2364.0,115.0,30.0,29706000.0,7400.0,118800.0,89100.0,1400000.0,,2012.0,Mar,10.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
849,Wengie,13500000,1900272833.0,Howto & Style,Wengie,462,United States,US,Howto,5297.0,165.0,30.0,1335000.0,334.0,5300.0,4000.0,64100.0,100000.0,2010.0,Sep,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
855,ATHLEAN-Xï¿½,13400000,2319515787.0,Howto & Style,ATHLEAN-Xï¿½,1349,United States,US,Howto,4039.0,166.0,31.0,14498000.0,3600.0,58000.0,43500.0,695900.0,,2006.0,Dec,16.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
872,Kabita's Kitchen,13300000,2831275503.0,Howto & Style,Kabita's Kitchen,1489,India,IN,Howto,3123.0,117.0,32.0,43118000.0,10800.0,172500.0,129400.0,2100000.0,,2014.0,Oct,7.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
886,CookingShooking Hindi,13200000,1758603195.0,People & Blogs,CookingShooking Hindi,393,India,IN,Howto,5855.0,118.0,33.0,11490000.0,2900.0,46000.0,34500.0,551500.0,,2017.0,Apr,4.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
895,ýýýýýýýýýýýýýýý Ms Yeah,13100000,4399833602.0,People & Blogs,ýýýýýýýýýýýýýýý Ms Yeah,435,United States,US,Howto,1650.0,169.0,34.0,60661000.0,15200.0,242600.0,182000.0,2900000.0,100000.0,2017.0,Feb,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
926,Troom Troom India,12800000,6804072897.0,Howto & Style,Troom Troom India,2385,,,Howto,873.0,,35.0,17270000.0,4300.0,69100.0,51800.0,829000.0,,2015.0,Apr,19.0,,,,,,
