rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
34,Aaj Tak,57600000,25307753534.0,News & Politics,Aaj Tak,283775,India,IN,News,71.0,13.0,1.0,461148000.0,115300.0,1800000.0,1400000.0,22100000.0,500000.0,2009.0,Aug,27.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
96,ABP NEWS,37000000,13102611515.0,People & Blogs,ABP NEWS,301308,India,IN,News,280.0,25.0,2.0,267060000.0,66800.0,1100000.0,801200.0,12800000.0,400000.0,2012.0,Jun,1.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
108,IndiaTV,35500000,16105023749.0,News & Politics,IndiaTV,273255,India,IN,News,185.0,27.0,3.0,290847000.0,72700.0,1200000.0,872500.0,14000000.0,600000.0,2006.0,Aug,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
114,T-Series Apna Punjab,34600000,21306315429.0,Music,T- Series Apna Punjab,0,,,News,4057944.0,,4653.0,,0.0,0.0,0.0,0.0,,2020.0,Jul,9.0,,,,,,
158,Zee News,30500000,16709857823.0,News & Politics,Zee News,180092,India,IN,News,168.0,41.0,4.0,461472000.0,115400.0,1800000.0,1400000.0,22200000.0,600000.0,2007.0,Jun,19.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
209,Raffy Tulfo in Action,26500000,15065753455.0,News & Politics,Raffy Tulfo in Action,10022,Philippines,PH,News,219.0,3.0,5.0,163130000.0,40800.0,652500.0,489400.0,7800000.0,300000.0,2016.0,Apr,20.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
238,The Lallantop,25200000,10409352249.0,News & Politics,The Lallantop,51129,India,IN,News,408.0,52.0,6.0,273920000.0,68500.0,1100000.0,821800.0,13100000.0,300000.0,2015.0,Mar,23.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
350,GMA Public  Affairs,21200000,11364908616.0,Entertainment,GMA Public  Affairs,31989,Philippines,PH,News,359.0,4.0,7.0,142317000.0,35600.0,569300.0,427000.0,6800000.0,200000.0,2009.0,Aug,8.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
409,SOMOY TV,19800000,12293479945.0,News & Politics,TIME NEWS,9930,United States,US,News,1291541.0,2251.0,1555.0,16229.0,4.0,65.0,49.0,779.0,,2013.0,Nov,16.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
421,DLS News,19400000,2255542592.0,News & Politics,DLS News,4750,India,IN,News,4178.0,74.0,8.0,32111000.0,8000.0,128400.0,96300.0,1500000.0,100000.0,2017.0,Jul,5.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
503,News 24,17700000,8396875537.0,News & Politics,24 ï¿½ï¿½ï¿½ï,211620,Ukraine,UA,News,880.0,24.0,112.0,370779000.0,92700.0,1500000.0,1100000.0,17800000.0,230000.0,2006.0,Feb,5.0,82.7,44385155.0,8.88,30835699.0,48.379433,31.16558
513,News18 India,17500000,7263619576.0,News & Politics,News18 India,182742,India,IN,News,770.0,85.0,10.0,394106000.0,98500.0,1600000.0,1200000.0,18900000.0,700000.0,2007.0,Oct,25.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
517,AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,17400000,13043561912.0,Entertainment,AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,118448,Thailand,TH,News,286.0,8.0,11.0,235993000.0,59000.0,944000.0,708000.0,11300000.0,200000.0,2014.0,Feb,5.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
557,NMF News,16600000,7435180827.0,News & Politics,NMF News,112261,India,IN,News,749.0,91.0,12.0,59201000.0,14800.0,236800.0,177600.0,2800000.0,100000.0,2013.0,Oct,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
564,BBC News Hindi,16500000,7043235131.0,News & Politics,BBC News Hindi,21243,India,IN,News,821.0,92.0,13.0,131202000.0,32800.0,524800.0,393600.0,6300000.0,300000.0,2009.0,Sep,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
587,Thairath Online,16200000,14563841315.0,News & Politics,Thairath Online,244899,Thailand,TH,News,238.0,10.0,14.0,224756000.0,56200.0,899000.0,674300.0,10800000.0,100000.0,2010.0,Sep,27.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
615,Narendra Modi,15800000,3392918989.0,News & Politics,Narendra Modi,20679,India,IN,News,2406.0,96.0,15.0,185969000.0,46500.0,743900.0,557900.0,8900000.0,700000.0,2007.0,Oct,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
