,released_year,streams
0,1930,90598517.0
1,1942,395591396.0
2,1946,389771964.0
3,1950,473248298.0
4,1952,395591396.0
5,1957,459981011.0
6,1958,436854312.3333333
7,1959,286708922.0
8,1963,437087793.6666667
9,1968,1145727611.0
10,1970,260017272.0
11,1971,460492795.0
12,1973,838586769.0
13,1975,2103052676.0
14,1979,403939487.0
15,1982,175137725.0
16,1983,1593270737.0
17,1984,867906341.5
18,1985,1115404970.5
19,1986,566837918.0
20,1987,1553497987.0
21,1991,1029419894.5
22,1992,1271293243.0
23,1994,1449779435.0
24,1995,968501958.0
25,1996,106933107.0
26,1997,103762518.0
27,1998,1284942608.0
28,1999,1080615564.4
29,2000,983493509.75
30,2002,1446620470.5
31,2003,1584021370.5
32,2004,878929559.75
33,2005,180577478.0
34,2007,1217120710.0
35,2008,1240407950.0
36,2010,1081405682.5714285
37,2011,936321290.7
38,2012,1341534278.7
39,2013,1220192294.9230769
40,2014,1264047139.3846154
41,2015,993721360.8181819
42,2016,1124607803.5555556
43,2017,1367723437.3913043
44,2018,1503052239.0
45,2019,1051970349.4722222
46,2020,937938698.8378378
47,2021,620236159.9915966
48,2022,289558154.13432837
49,2023,147477052.02285713
