,in_apple_playlists,in_apple_charts,Artista,id_artista
0,43,263,"Latto, Jung Kook",0
1,48,126,Myke Towers,1
2,94,207,Olivia Rodrigo,2
3,259,55,Olivia Rodrigo,2
4,185,61,Olivia Rodrigo,2
5,117,39,Olivia Rodrigo,2
6,25,46,Olivia Rodrigo,2
7,20,21,Olivia Rodrigo,2
8,10,0,Olivia Rodrigo,2
9,116,207,Taylor Swift,3
10,73,119,Taylor Swift,3
11,242,142,Taylor Swift,3
12,154,123,Taylor Swift,3
13,94,111,Taylor Swift,3
14,106,112,Taylor Swift,3
15,37,55,Taylor Swift,3
16,32,93,Taylor Swift,3
17,16,72,Taylor Swift,3
18,19,45,Taylor Swift,3
19,160,110,Taylor Swift,3
20,21,52,Taylor Swift,3
21,25,81,Taylor Swift,3
22,24,101,Taylor Swift,3
23,328,70,Taylor Swift,3
24,47,90,Taylor Swift,3
25,3,33,Taylor Swift,3
26,15,15,Taylor Swift,3
27,51,43,Taylor Swift,3
28,26,6,Taylor Swift,3
29,19,29,Taylor Swift,3
30,8,18,Taylor Swift,3
31,12,16,Taylor Swift,3
32,39,35,Taylor Swift,3
33,50,49,Taylor Swift,3
34,26,2,Taylor Swift,3
35,12,9,Taylor Swift,3
36,10,3,Taylor Swift,3
37,7,5,Taylor Swift,3
38,6,3,Taylor Swift,3
39,9,6,Taylor Swift,3
40,4,5,Taylor Swift,3
41,1,6,Taylor Swift,3
42,4,0,Taylor Swift,3
43,84,133,Bad Bunny,4
44,124,133,Bad Bunny,4
45,34,65,Bad Bunny,4
46,20,64,Bad Bunny,4
47,74,113,Bad Bunny,4
48,120,86,Bad Bunny,4
49,21,20,Bad Bunny,4
50,13,1,Bad Bunny,4
51,27,44,Bad Bunny,4
52,7,30,Bad Bunny,4
53,7,21,Bad Bunny,4
54,9,11,Bad Bunny,4
55,10,24,Bad Bunny,4
56,5,28,Bad Bunny,4
57,4,15,Bad Bunny,4
58,8,12,Bad Bunny,4
59,7,25,Bad Bunny,4
60,9,7,Bad Bunny,4
61,6,20,Bad Bunny,4
62,67,213,"Dave, Central Cee",5
63,34,222,"Eslabon Armado, Peso Pluma",6
64,25,89,Quevedo,7
65,34,26,Quevedo,7
66,11,24,Quevedo,7
67,16,19,Quevedo,7
68,60,210,Gunna,8
69,49,110,"Peso Pluma, Yng Lvcas",9
70,41,205,"Bad Bunny, Grupo Frontera",10
71,37,202,NewJeans,11
72,8,166,NewJeans,11
73,26,124,NewJeans,11
74,28,125,NewJeans,11
75,20,119,NewJeans,11
76,14,141,NewJeans,11
77,300,215,Miley Cyrus,12
78,65,48,Miley Cyrus,12
79,80,156,David Kushner,13
80,13,0,David Kushner,13
81,403,198,Harry Styles,14
82,437,115,Harry Styles,14
83,166,42,Harry Styles,14
84,246,71,Harry Styles,14
85,124,24,Harry Styles,14
86,85,24,Harry Styles,14
87,80,11,Harry Styles,14
88,29,10,Harry Styles,14
89,21,11,Harry Styles,14
90,20,3,Harry Styles,14
91,43,28,Harry Styles,14
92,13,2,Harry Styles,14
93,7,1,Harry Styles,14
94,8,1,Harry Styles,14
95,18,1,Harry Styles,14
96,15,1,Harry Styles,14
97,26,2,Harry Styles,14
98,183,162,SZA,15
99,58,156,SZA,15
100,23,71,SZA,15
101,59,100,SZA,15
102,71,95,SZA,15
103,22,51,SZA,15
104,133,109,SZA,15
105,5,31,SZA,15
106,16,63,SZA,15
107,6,21,SZA,15
108,6,18,SZA,15
109,3,17,SZA,15
110,5,9,SZA,15
111,14,22,SZA,15
112,66,96,SZA,15
113,6,11,SZA,15
114,2,14,SZA,15
115,0,9,SZA,15
116,2,15,SZA,15
117,91,212,Fifty Fifty,16
118,15,93,Fifty Fifty,16
119,80,227,Billie Eilish,17
120,68,89,Billie Eilish,17
121,138,133,Billie Eilish,17
122,39,45,Billie Eilish,17
123,19,0,Billie Eilish,17
124,43,100,"Feid, Young Miko",18
125,8,104,Jimin,19
126,4,71,Jimin,19
127,4,72,Jimin,19
128,11,163,"Gabito Ballesteros, Junior H, Peso Pluma",20
129,24,98,Arctic Monkeys,21
130,30,80,Arctic Monkeys,21
131,133,92,Arctic Monkeys,21
132,54,70,Arctic Monkeys,21
133,17,152,"Bizarrap, Peso Pluma",22
134,74,182,"The Weeknd, Madonna, Playboi Carti",23
135,16,149,Fuerza Regida,24
136,16,159,Fuerza Regida,24
137,35,109,"Tainy, Bad Bunny",26
138,52,107,Morgan Wallen,27
139,37,88,Morgan Wallen,27
140,11,58,Morgan Wallen,27
141,4,20,Morgan Wallen,27
142,22,101,Morgan Wallen,27
143,11,54,Morgan Wallen,27
144,15,17,Morgan Wallen,27
145,6,15,Morgan Wallen,27
146,16,53,Morgan Wallen,27
147,5,9,Morgan Wallen,27
148,2,10,Morgan Wallen,27
149,0,0,Dua Lipa,28
150,532,77,Dua Lipa,28
151,233,82,Dua Lipa,28
152,71,135,Troye Sivan,29
153,52,25,Troye Sivan,29
154,20,185,"Peso Pluma, Grupo Frontera",30
155,113,149,"The Weeknd, 21 Savage, Metro Boomin",31
156,115,123,"Karol G, Shakira",32
157,22,33,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",33
158,19,108,"Yahritza Y Su Esencia, Grupo Frontera",34
159,10,107,"Junior H, Peso Pluma",35
160,19,117,"Junior H, Peso Pluma",35
161,372,117,"Post Malone, Swae Lee",36
162,291,184,"Bebe Rexha, David Guetta",37
163,77,58,"Tyler, The Creator, Kali Uchis",38
164,82,145,"Nicki Minaj, Aqua, Ice Spice",39
165,241,127,OneRepublic,40
166,179,97,OneRepublic,40
167,68,21,The Weeknd,41
168,672,199,The Weeknd,41
169,197,115,The Weeknd,41
170,45,85,The Weeknd,41
171,151,107,The Weeknd,41
172,122,94,The Weeknd,41
173,45,115,The Weeknd,41
174,81,77,The Weeknd,41
175,13,89,The Weeknd,41
176,49,88,The Weeknd,41
177,7,47,The Weeknd,41
178,11,29,The Weeknd,41
179,18,77,The Weeknd,41
180,17,80,The Weeknd,41
181,3,18,The Weeknd,41
182,1,8,The Weeknd,41
183,1,17,The Weeknd,41
184,1,5,The Weeknd,41
185,0,2,The Weeknd,41
186,0,1,The Weeknd,41
187,1,1,The Weeknd,41
188,174,73,The Weeknd,41
189,281,137,"The Weeknd, Daft Punk",42
190,87,86,"Ariana Grande, The Weeknd",43
191,240,98,"Ariana Grande, The Weeknd",43
192,44,64,"Feid, Myke Towers, Sky Rompiendo",44
193,145,111,"David Guetta, Anne-Marie, Coi Leray",45
194,14,71,Karol G,46
195,34,115,Karol G,46
196,15,26,Karol G,46
197,114,104,Karol G,46
198,0,0,Peggy Gou,47
199,250,122,Tom Odell,48
200,67,79,Kali Uchis,49
201,139,111,Manuel Turizo,50
202,27,17,"dennis, MC Kevin o Chris",51
203,154,84,"PinkPantheress, Ice Spice",52
