,Artista,in_deezer_playlists,in_deezer_charts,id_artista
0,Myke Towers,58,14,1
1,Olivia Rodrigo,91,14,2
2,Olivia Rodrigo,461,1,2
3,Olivia Rodrigo,485,0,2
4,Olivia Rodrigo,141,0,2
5,Olivia Rodrigo,105,0,2
6,Olivia Rodrigo,99,0,2
7,Olivia Rodrigo,70,0,2
8,Taylor Swift,125,12,3
9,Taylor Swift,42,1,3
10,Taylor Swift,165,9,3
11,Taylor Swift,410,2,3
12,Taylor Swift,151,4,3
13,Taylor Swift,142,4,3
14,Taylor Swift,32,0,3
15,Taylor Swift,8,2,3
16,Taylor Swift,5,0,3
17,Taylor Swift,0,0,3
18,Taylor Swift,163,0,3
19,Taylor Swift,6,1,3
20,Taylor Swift,61,1,3
21,Taylor Swift,113,0,3
22,Taylor Swift,1378,9,3
23,Taylor Swift,1,0,3
24,Taylor Swift,3,0,3
25,Taylor Swift,6,0,3
26,Taylor Swift,38,10,3
27,Taylor Swift,19,0,3
28,Taylor Swift,21,0,3
29,Taylor Swift,20,0,3
30,Taylor Swift,14,0,3
31,Taylor Swift,22,2,3
32,Taylor Swift,30,1,3
33,Taylor Swift,15,0,3
34,Taylor Swift,16,0,3
35,Taylor Swift,12,0,3
36,Taylor Swift,13,0,3
37,Taylor Swift,15,0,3
38,Taylor Swift,13,0,3
39,Taylor Swift,8,0,3
40,Taylor Swift,11,0,3
41,Taylor Swift,8,0,3
42,Bad Bunny,87,15,4
43,Bad Bunny,139,14,4
44,Bad Bunny,43,6,4
45,Bad Bunny,35,6,4
46,Bad Bunny,85,9,4
47,Bad Bunny,164,4,4
48,Bad Bunny,40,0,4
49,Bad Bunny,15,0,4
50,Bad Bunny,24,0,4
51,Bad Bunny,13,1,4
52,Bad Bunny,11,0,4
53,Bad Bunny,22,1,4
54,Bad Bunny,11,0,4
55,Bad Bunny,9,0,4
56,Bad Bunny,10,0,4
57,Bad Bunny,9,0,4
58,Bad Bunny,12,0,4
59,Bad Bunny,14,0,4
60,Bad Bunny,8,0,4
61,Quevedo,30,13,7
62,Quevedo,37,5,7
63,Quevedo,7,1,7
64,Quevedo,21,3,7
65,Gunna,48,11,8
66,NewJeans,21,5,11
67,NewJeans,4,4,11
68,NewJeans,15,1,11
69,NewJeans,11,1,11
70,NewJeans,12,2,11
71,NewJeans,9,0,11
72,Miley Cyrus,745,58,12
73,Miley Cyrus,138,1,12
74,David Kushner,182,24,13
75,David Kushner,32,1,13
76,Harry Styles,863,46,14
77,Harry Styles,1212,12,14
78,Harry Styles,199,16,14
79,Harry Styles,519,2,14
80,Harry Styles,254,0,14
81,Harry Styles,200,0,14
82,Harry Styles,66,0,14
83,Harry Styles,79,0,14
84,Harry Styles,40,0,14
85,Harry Styles,39,0,14
86,Harry Styles,79,0,14
87,Harry Styles,31,0,14
88,Harry Styles,15,0,14
89,Harry Styles,18,0,14
90,Harry Styles,28,0,14
91,Harry Styles,23,0,14
92,Harry Styles,30,0,14
93,SZA,161,12,15
94,SZA,42,1,15
95,SZA,14,0,15
96,SZA,58,13,15
97,SZA,31,0,15
98,SZA,12,0,15
99,SZA,182,1,15
100,SZA,1,0,15
101,SZA,8,0,15
102,SZA,3,0,15
103,SZA,1,0,15
104,SZA,2,0,15
105,SZA,1,0,15
106,SZA,0,0,15
107,SZA,43,0,15
108,SZA,3,0,15
109,SZA,2,0,15
110,SZA,2,0,15
111,SZA,1,0,15
112,Fifty Fifty,78,6,16
113,Fifty Fifty,30,0,16
114,Billie Eilish,95,24,17
115,Billie Eilish,65,0,17
116,Billie Eilish,283,0,17
117,Billie Eilish,250,0,17
118,Billie Eilish,38,0,17
119,Jimin,23,2,19
120,Jimin,16,1,19
121,Jimin,5,0,19
122,Arctic Monkeys,582,2,21
123,Arctic Monkeys,588,1,21
124,Arctic Monkeys,2733,1,21
125,Arctic Monkeys,1089,2,21
126,Fuerza Regida,10,5,24
127,Fuerza Regida,15,6,24
128,Morgan Wallen,15,1,27
129,Morgan Wallen,9,0,27
130,Morgan Wallen,5,0,27
131,Morgan Wallen,0,0,27
132,Morgan Wallen,0,0,27
133,Morgan Wallen,0,0,27
134,Morgan Wallen,0,0,27
135,Morgan Wallen,0,0,27
136,Morgan Wallen,1,0,27
137,Morgan Wallen,0,0,27
138,Morgan Wallen,0,0,27
139,Dua Lipa,143,38,28
140,Dua Lipa,1535,3,28
141,Dua Lipa,531,1,28
142,Troye Sivan,50,1,29
143,Troye Sivan,32,0,29
144,OneRepublic,458,37,40
145,OneRepublic,3394,11,40
146,The Weeknd,24,0,41
147,The Weeknd,3421,20,41
148,The Weeknd,112,0,41
149,The Weeknd,238,1,41
150,The Weeknd,801,1,41
151,The Weeknd,1992,0,41
152,The Weeknd,218,1,41
153,The Weeknd,133,0,41
154,The Weeknd,34,0,41
155,The Weeknd,62,0,41
156,The Weeknd,15,0,41
157,The Weeknd,14,0,41
158,The Weeknd,61,0,41
159,The Weeknd,38,0,41
160,The Weeknd,14,0,41
161,The Weeknd,6,0,41
162,The Weeknd,11,0,41
163,The Weeknd,6,0,41
164,The Weeknd,2,0,41
165,The Weeknd,2,0,41
166,The Weeknd,3,0,41
167,The Weeknd,344,0,41
168,Karol G,23,10,46
169,Karol G,39,6,46
170,Karol G,30,6,46
171,Karol G,147,11,46
172,Peggy Gou,109,17,47
173,Tom Odell,3394,19,48
174,Kali Uchis,57,1,49
