,Artista,in_spotify_playlists,in_spotify_charts,id_artista
0,"Latto, Jung Kook",553,147,0
1,Myke Towers,1474,48,1
2,Olivia Rodrigo,1397,113,2
3,Olivia Rodrigo,15563,6,2
4,Olivia Rodrigo,12685,3,2
5,Olivia Rodrigo,7545,4,2
6,Olivia Rodrigo,3069,4,2
7,Olivia Rodrigo,3681,0,2
8,Olivia Rodrigo,3257,0,2
9,Taylor Swift,7858,100,3
10,Taylor Swift,516,38,3
11,Taylor Swift,9082,56,3
12,Taylor Swift,11434,53,3
13,Taylor Swift,7830,42,3
14,Taylor Swift,7923,29,3
15,Taylor Swift,3818,23,3
16,Taylor Swift,148,24,3
17,Taylor Swift,139,17,3
18,Taylor Swift,4875,23,3
19,Taylor Swift,8448,23,3
20,Taylor Swift,99,15,3
21,Taylor Swift,7324,22,3
22,Taylor Swift,4564,16,3
23,Taylor Swift,21335,13,3
24,Taylor Swift,2619,12,3
25,Taylor Swift,86,11,3
26,Taylor Swift,547,0,3
27,Taylor Swift,3763,8,3
28,Taylor Swift,1282,6,3
29,Taylor Swift,2612,4,3
30,Taylor Swift,2537,2,3
31,Taylor Swift,2304,0,3
32,Taylor Swift,2699,0,3
33,Taylor Swift,4635,5,3
34,Taylor Swift,1492,0,3
35,Taylor Swift,1948,0,3
36,Taylor Swift,1608,0,3
37,Taylor Swift,1936,0,3
38,Taylor Swift,1597,0,3
39,Taylor Swift,1747,0,3
40,Taylor Swift,1715,0,3
41,Taylor Swift,1274,0,3
42,Taylor Swift,1180,0,3
43,Bad Bunny,3133,50,4
44,Bad Bunny,9037,42,4
45,Bad Bunny,4004,33,4
46,Bad Bunny,2590,30,4
47,Bad Bunny,4572,33,4
48,Bad Bunny,9644,28,4
49,Bad Bunny,4214,11,4
50,Bad Bunny,1188,0,4
51,Bad Bunny,2229,0,4
52,Bad Bunny,1112,6,4
53,Bad Bunny,1179,0,4
54,Bad Bunny,1443,0,4
55,Bad Bunny,892,3,4
56,Bad Bunny,1029,28,4
57,Bad Bunny,829,0,4
58,Bad Bunny,1004,1,4
59,Bad Bunny,1112,3,4
60,Bad Bunny,1209,0,4
61,Bad Bunny,897,0,4
62,"Dave, Central Cee",2186,91,5
63,"Eslabon Armado, Peso Pluma",3090,50,6
64,Quevedo,714,43,7
65,Quevedo,1985,35,7
66,Quevedo,888,22,7
67,Quevedo,1769,34,7
68,Gunna,1096,83,8
69,"Peso Pluma, Yng Lvcas",2953,44,9
70,"Bad Bunny, Grupo Frontera",2876,40,10
71,NewJeans,422,55,11
72,NewJeans,77,35,11
73,NewJeans,1783,27,11
74,NewJeans,1154,22,11
75,NewJeans,892,17,11
76,NewJeans,799,12,11
77,Miley Cyrus,12211,115,12
78,Miley Cyrus,3372,19,12
79,David Kushner,3528,98,13
80,David Kushner,788,0,13
81,Harry Styles,23575,130,14
82,Harry Styles,21915,34,14
83,Harry Styles,7461,8,14
84,Harry Styles,13454,1,14
85,Harry Styles,7556,0,14
86,Harry Styles,8429,1,14
87,Harry Styles,4449,1,14
88,Harry Styles,3218,3,14
89,Harry Styles,2775,0,14
90,Harry Styles,2302,0,14
91,Harry Styles,3291,5,14
92,Harry Styles,1933,0,14
93,Harry Styles,1986,0,14
94,Harry Styles,2094,1,14
95,Harry Styles,2171,0,14
96,Harry Styles,1900,1,14
97,Harry Styles,1517,0,14
98,SZA,8109,77,15
99,SZA,2839,25,15
100,SZA,1911,0,15
101,SZA,2536,6,15
102,SZA,3469,0,15
103,SZA,1484,0,15
104,SZA,10426,2,15
105,SZA,1007,0,15
106,SZA,1127,0,15
107,SZA,906,0,15
108,SZA,827,0,15
109,SZA,892,0,15
110,SZA,989,0,15
111,SZA,819,0,15
112,SZA,4094,0,15
113,SZA,811,0,15
114,SZA,899,0,15
115,SZA,714,0,15
116,SZA,680,0,15
117,Fifty Fifty,2942,77,16
118,Fifty Fifty,526,10,16
119,Billie Eilish,873,104,17
120,Billie Eilish,3009,2,17
121,Billie Eilish,8476,0,17
122,Billie Eilish,4204,0,17
123,Billie Eilish,1959,0,17
124,"Feid, Young Miko",2610,40,18
125,Jimin,596,68,19
126,Jimin,340,13,19
127,Jimin,373,19,19
128,"Gabito Ballesteros, Junior H, Peso Pluma",332,26,20
129,Arctic Monkeys,12859,110,21
130,Arctic Monkeys,13985,25,21
131,Arctic Monkeys,33783,26,21
132,Arctic Monkeys,23389,29,21
133,"Bizarrap, Peso Pluma",1313,40,22
134,"The Weeknd, Madonna, Playboi Carti",1945,87,23
135,Fuerza Regida,250,26,24
136,Fuerza Regida,584,28,24
137,"Tainy, Bad Bunny",859,40,26
138,Morgan Wallen,2420,19,27
139,Morgan Wallen,2128,9,27
140,Morgan Wallen,811,4,27
141,Morgan Wallen,356,4,27
142,Morgan Wallen,604,6,27
143,Morgan Wallen,579,0,27
144,Morgan Wallen,430,0,27
145,Morgan Wallen,282,0,27
146,Morgan Wallen,968,4,27
147,Morgan Wallen,203,0,27
148,Morgan Wallen,166,0,27
149,Dua Lipa,2988,101,28
150,Dua Lipa,27119,0,28
151,Dua Lipa,9833,0,28
152,Troye Sivan,864,78,29
153,Troye Sivan,1959,9,29
154,"Peso Pluma, Grupo Frontera",266,34,30
155,"The Weeknd, 21 Savage, Metro Boomin",6036,88,31
156,"Karol G, Shakira",4284,49,32
157,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",1150,31,33
158,"Yahritza Y Su Esencia, Grupo Frontera",672,34,34
159,"Junior H, Peso Pluma",692,25,35
160,"Junior H, Peso Pluma",201,11,35
161,"Post Malone, Swae Lee",24094,78,36
162,"Bebe Rexha, David Guetta",12482,80,37
163,"Tyler, The Creator, Kali Uchis",13387,64,38
164,"Nicki Minaj, Aqua, Ice Spice",1117,80,39
165,OneRepublic,8431,76,40
166,OneRepublic,29215,43,40
167,The Weeknd,2483,59,41
168,The Weeknd,43899,69,41
169,The Weeknd,12688,13,41
170,The Weeknd,6518,17,41
171,The Weeknd,11087,6,41
172,The Weeknd,25744,4,41
173,The Weeknd,8084,6,41
174,The Weeknd,4440,0,41
175,The Weeknd,2881,6,41
176,The Weeknd,3711,0,41
177,The Weeknd,1915,0,41
178,The Weeknd,2297,0,41
