Artista,in_deezer_playlists,in_deezer_charts
Latto  Jung Kook,45,10
Myke Towers,58,14
Olivia Rodrigo,91,14
Taylor Swift,125,12
Bad Bunny,87,15
Dave  Central Cee,88,17
Eslabon Armado  Peso Pluma,43,13
Quevedo,30,13
Gunna,48,11
Peso Pluma  Yng Lvcas,66,13
Bad Bunny  Grupo Frontera,54,12
NewJeans,21,5
Miley Cyrus,745,58
David Kushner,182,24
Harry Styles,863,46
SZA,161,12
Fifty Fifty,78,6
Billie Eilish,95,24
Feid  Young Miko,54,14
Jimin,23,2
Gabito Ballesteros  Junior H  Peso Pluma,10,4
Taylor Swift,42,1
Arctic Monkeys,582,2
Bizarrap  Peso Pluma,32,11
The Weeknd  Madonna  Playboi Carti,87,14
Fuerza Regida,10,5
Rï¿½ï¿½ma  Selena G,318,38
Tainy  Bad Bunny,41,14
Morgan Wallen,15,1
Dua Lipa,143,38
Troye Sivan,50,1
Peso Pluma  Grupo Frontera,13,8
The Weeknd  21 Savage  Metro Boomin,245,23
Taylor Swift,165,9
Karol G  Shakira,184,18
Big One  Duki  Lit Killah  Maria Becerra  FMK  Rusherking  Emilia  Tiago pzk,34,7
Yahritza Y Su Esencia  Grupo Frontera,24,9
Taylor Swift,410,2
Taylor Swift,151,4
Fuerza Regida,15,6
Junior H  Peso Pluma,6,3
Post Malone  Swae Lee,843,4
Bebe Rexha  David Guetta,537,45
Tyler  The Creator  Kali Uchis,247,1
Nicki Minaj  Aqua  Ice Spice,65,16
Miley Cyrus,138,1
OneRepublic,458,37
The Weeknd,24,0
The Weeknd  Daft Punk,2445,1
Ariana Grande  The Weeknd,74,1
Feid  Myke Towers  Sky Rompiendo,57,10
David Guetta  Anne-Marie  Coi Leray,213,11
Karol G,23,10
Peggy Gou,109,17
Tom Odell,3394,19
The Weeknd,3421,20
Kali Uchis,57,1
Manuel Turizo,161,15
Karol G,39,6
Taylor Swift,142,4
dennis  MC Kevin o Chris,73,4
PinkPantheress  Ice Spice,102,14
Charlie Puth  BTS  Jung Kook,4,0
Rauw Alejandro  ROSALï¿½,182,12
Ozuna  Feid,89,11
Chris Molitor,4053,5
Taylor Swift,32,0
Libianca,169,8
Post Malone,31,1
Taylor Swift,8,2
Rauw Alejandro  Bizarrap,58,3
Glass Animals,707,28
JVKE,109,18
The Neighbourhood,1056,1
Bizarrap  Quevedo,164,14
Coldplay,4095,9
d4vd,68,1
Sam Smith  Kim Petras,331,26
Yandel  Feid,80,14
Maria Becerra,18,4
Vance Joy,1003,1
Em Beihold  Stephen Sanchez,71,0
Mc Livinho  DJ Matt D,25,2
Taylor Swift,5,0
Justin Bieber  The Kid Laroi,798,31
Marshmello  Manuel Turizo,110,11
Lewis Capaldi,1800,0
Chencho Corleone  Bad Bunny,141,26
Jain,2703,22
Ayparia  unxbected,8,0
Luke Combs,35,0
Doechii,24,0
Bad Bunny  Eladio Carrion,29,5
Taylor Swift,0,0
Jung Kook,8,0
J. Cole  Lil Durk,69,2
Lana Del Rey,63,1
SZA,42,1
Lana Del Rey,1632,3
BTS,25,4
Taylor Swift,163,0
Future  Metro Boomin  Don Toliver,19,2
Post Malone,59,3
Eminem,2394,5
NewJeans,4,4
Carin Leon,6,6
Dua Lipa  Elton John  Pnau,1034,37
Ruth B.,59,1
Imagine Dragons,327,17
Adele,2163,5
Kendrick Lamar  Jay Rock,695,0
Anggi Marito,0,0
Jasiel Nuï¿½ï¿½ez  Peso P,4,2
Taylor Swift,6,1
Tears For Fears,2655,0
J. Cole,476,0
Loreen,145,18
Taiu  Milo j,24,3
Sebastian Yatra  Manuel Turizo  Beï¿½ï,47,8
Taylor Swift,61,1
Junior H  Peso Pluma,8,1
Calvin Harris  Ellie Goulding,246,9
Sabrina Carpenter,38,8
Carin Leon  Grupo Frontera,21,9
Peso Pluma,4,3
Feid,52,4
Ray Dalton  Ryan Lewis  Macklemore,6551,2
Harry Styles,1212,12
Billie Eilish  Khalid,1078,2
Rauw Alejandro  Bizarrap,32,5
(G)I-DLE,7,0
NewJeans,15,1
Lana Del Rey,282,3
Shakira  Bizarrap,254,29
Arctic Monkeys,588,1
Swae Lee  A Boogie Wit da Hoodie  Metro Boomin  NAV,31,0
Travis Scott  Young Thug  Metro Boomin,30,1
Sachin-Jigar  Shadab Faridi  Altamash Faridi  Amitabh Bhattacharya  Varun Jain,1,0
Ed Sheeran,2094,0
d4vd,50,0
Imagine Dragons,2969,10
Veigh  Bvga Beatz  Supernova Ent  Prod Malax,26,1
Mc Pedrinho  DJ 900,30,2
Eminem,3889,5
Sog  Ryan Castro  Peso Pluma,26,3
The Weeknd  Lana Del Rey,5,0
Bomba Estï¿½ï¿½reo  Bad B,99,13
Keane,5239,0
New West,44,1
Chino Pacas,4,2
Natanael Cano,3,1
Peso Pluma,8,2
Don Omar  Lucenzo,974,1
Ana Castela  AgroPlay,66,3
Bruno Mars,356,0
Big One  FMK  Ke personajes,12,5
Drake  21 Savage,58,1
OneRepublic,3394,11
Justin Bieber,95,0
Chris Brown,3,0
Natanael Cano  Peso Pluma,10,6
Daddy Yankee,453,0
Drake  WizKid  Kyla,3631,0
Taylor Swift,113,0
The Weeknd,112,0
Miguel,435,6
The Police,929,0
Lord Huron,939,1
Rihanna  Calvin Harris,4607,1
Bruno Mars,806,0
Alec Benjamin,885,0
A$AP Rocky  Metro Boomin  Roisee,28,1
Arctic Monkeys,2733,1
Imagine Dragons,3425,4
YOASOBI,8,1
The Weeknd,238,1
Taylor Swift,1378,9
Arctic Monkeys,1089,2
Rosa Linn,226,24
Ed Sheeran,6808,7
One Direction,2,0
Oscar Maydon  Junior H,6,1
Radiohead,6807,5
James Arthur,61,0
Cigarettes After Sex,790,2
Shubh,0,0
Frank Ocean,266,1
Post Malone,633,3
Bruno Mars,2946,0
Hozier,4623,1
Fuerza Regida  Grupo Frontera,21,7
Taylor Swift,1,0
Bad Bunny,139,14
Taylor Swift,3,0
Hotel Ugly,19,0
Creedence Clearwater Revival,653,0
Plan B,19,0
Feid  Mora  Saiko  Quevedo,21,8
NewJeans,11,1
a-ha,5108,6
Swae Lee  Lil Wayne  Offset  Metro Boomin,20,1
Kodak Black  NLE Choppa  Muni Long  JVKE  Jimin,15,1
Shakira,79,11
Natanael Cano  Gabito Ballesteros  Peso Pluma,9,5
Arijit Singh  Sachin-Jigar  Amitabha Bhattacharya,1,0
Stray Kids,5,0
Taylor Swift,6,0
Becky G  Peso Pluma,21,2
Metro Boomin  Coi Leray,5,0
Kaliii  Kaliii,25,1
Junior H  Eden Muï¿½ï,4,1
Abhijay Sharma  Riar Saab,2,0
Semicenk  Doï¿½ï¿½u ,4,1
JISOO,20,0
Future  Lil Uzi Vert  Metro Boomin,5,0
Ed Sheeran,107,3
RAYE  070 Shake,114,18
Arcangel  Bad Bunny,53,10
Taylor Swift  Ice Spice,31,0
Future  Chris Brown  Metro Boomin,38,0
BLESSD  Peso Pluma,4,1
Feid,34,5
Fuerza Regida  Natanael Cano,8,3
Lana Del Rey  Taylor Swift,9,0
Coi Leray,143,0
ENHYPEN,5,0
Lil Durk  Morgan Wallen,6,0
Feid,45,5
James Blake  Metro Boomin,5,0
Israel & Rodolffo  Mari Fernandez,51,1
Steve Lacy,131,16
Beyoncï¿,330,26
Halsey  Suga,8,2
Nicky Jam  Feid,48,2
Sean Paul  Feid,43,5
Drake,43,0
Kendrick Lamar  Beyoncï¿,33,0
Taylor Swift,38,10
WizKid  Toian  Metro Boomin  Don Toliver  Beam,3,0
Bad Bunny,43,6
Simone Mendes,76,2
Tini,63,4
Lil Uzi Vert,47,0
Sia,1145,2
Stephen Sanchez,154,20
Drake  21 Savage,42,0
Adele,657,22
MC Caverinha  KayBlack,30,1
Offset  JID,6,0
Zï¿½ï¿½ Neto & Crist,47,1
Eminem,3271,1
Migrantes  LiL CaKe  Nico Valdi,56,4
Tory Lanez,21,1
Joji,158,3
Mambo Kingz  DJ Luian  Anuel Aa,11,0
Ed Sheeran,27,0
Nile Rodgers  LE SSERAFIM,9,0
Agust D,10,2
Rich The Kid  Matuï¿,41,1
Karol G,30,6
Labrinth,51,0
Karol G  Romeo Santos,53,8
Lizzy McAlpine,48,0
Fifty Fifty,30,0
IVE,7,0
sped up 8282,6,0
Cartel De Santa  La Kelly,12,2
SEVENTEEN,9,0
NLE Choppa,13,0
The Weeknd  Future,28,0
Taylor Swift,19,0
Karol G,147,11
Nicki Minaj  Ice Spice,0,0
Grupo Marca Registrada  Grupo Frontera,4,2
Ed Sheeran,543,18
Fuerza Regida  Peso Pluma,5,1
TAEYANG  Lisa,10,0
Raim Laode,1,1
ROSALï¿½,422,15
Meghan Trainor,127,3
sped up nightcore  ARIZONATEARS  Lil Uzi Vert,21,0
Grupo Frontera,22,9
Quevedo,37,5
TV Girl,36,1
INTERWORLD,24,0
Quevedo  Jhayco,27,0
El Chachito  Junior H,2,1
Jimin,16,1
The Weeknd  Gesaffelstein,142,0
RM  Colde,5,0
BLACKPINK,62,0
Nengo Flow  Bad Bunny,32,3
The Weeknd,801,1
Jimin,5,0
Jasiel Nuï¿½ï¿½ez  Peso P,2,1
Nicky Youre  Dazy,110,19
Eminem,5567,1
Eminem  Dina Rae,1005,0
Mambo Kingz  DJ Luian  Anuel Aa,20,0
IU  Agust D,11,2
Feid,15,0
Arcangel  Bizarrap,18,1
Tyler  The Creator,18,0
Tiï¿½ï¿½sto  Tate M,147,18
Tyler  The Creator,13,0
NF,11,0
Yng Lvcas,5,1
Kanii  PR1ISVX,5,0
Harry Styles,199,16
Marï¿½ï¿½lia Mendo,88,1
Ariana Grande  The Weeknd,468,3
Zach Bryan,46,16
Melanie Martinez,12,0
Fuerza Regida  Chino Pacas,2,1
Taylor Swift,21,0
Mae Stephens,66,9
Morgan Wallen,9,0
Feid  Mora,43,8
Kenia OS,21,0
Kordhell,50,0
Coolio  L.V.,386,0
Karol G  Ovy On The Drums,55,1
The Walters,135,0
Steve Lacy,181,0
James Arthur,1509,0
The Weeknd,1992,0
Mac DeMarco,29,1
Jack Black,0,0
Duki  NICKI NICOLE  Cris Mj  Standly  Stars Music Chile,30,2
Brray  Rauw Alejandro  Lyanno,64,6
SZA,14,0
Linkin Park,7341,0
Gorillaz  Bad Bunny,39,2
j-hope  J. Cole,8,0
Morgan Wallen,5,0
Robin Schulz  Oliver Tree,197,3
Morgan Wallen,0,0
Morgan Wallen,0,0
Don Toliver  Future  Justin Bieber,18,0
Morgan Wallen,0,0
Niall Horan,48,0
Central Cee,110,0
Mahalini,0,0
Morgan Wallen,0,0
Arijit Singh  Sachin-Jigar,0,0
ThxSoMch,9,0
Myke Towers  Quevedo,34,2
Morgan Wallen  Eric Church,1,0
Nicki Minaj,20,0
Kaifi Khalil,1,0
SZA,58,13
Karol G  Quevedo,14,3
NewJeans,12,2
Lady Gaga,277,3
Ozuna  Shakira,150,4
Morgan Wallen,0,0
Quevedo,7,1
Morgan Wallen,1,0
Linkin Park,6808,2
Leo Santana,71,2
Treyce,13,0
Post Malone  Doja Cat,80,15
Bad Bunny,35,6
Quevedo,21,3
MC Xenon  Os Gemeos da Putaria,21,0
Imagine Dragons  League of Legends  JID  Arcane,580,21
XXXTENTACION,203,0
Israel & Rodolffo  Ana Castela,73,2
J Balvin  Bad Bunny,305,3
Yuridia  Angela Aguilar,18,5
The Kid Laroi,48,0
The Weeknd,218,1
Lizzo,25,0
Morgan Wallen,0,0
Fujii Kaze,9,0
Wisin & Yandel  ROSALï¿½,56,3
King,1,0
Bad Bunny,85,9
Coldplay  BTS,0,0
Morgan Wallen,0,0
ROSALï¿½,114,1
Sam Smith  Calvin Harris  Jessie Reyez,49,0
P!nk,101,7
LE SSERAFIM,11,0
PinkPantheress,28,13
TAEYANG  Jimin,21,1
SZA,31,0
Rihanna,212,1
Lil Nas X,208,0
Beach Weather,87,12
Halsey  BTS,259,0
Baby Tate,12,4
Rï¿½ï,750,22
Arijit Singh  Vishal Dadlani  Sukriti Kakar  Vishal-Shekhar  Shekhar Ravjiani  Kumaar,2,0
RAYE  070 Shake,11,0
Beach House,335,0
BTS  Jung Kook  FIFA Sound,35,0
Shakira  Rauw Alejandro,212,13
Steve Aoki  Tini  La Joaqui,53,2
Billie Eilish,65,0
Sam Smith,1959,0
Conan Gray,231,0
Vishal-Shekhar  Shilpa Rao  Caralisa Monteiro  Kumaar  Vishal Dadlani  Shekhar Ravjiani,2,0
Calvin Harris  Dua Lipa,2726,6
TOMORROW X TOGETHER,13,0
BLACKPINK,77,1
Drake  Future  Tems,75,0
Dua Lipa,1535,3
Mr.Kitty,3,0
Gustavo Mioto  Mari Fernandez,66,1
Jack Harlow  Lil Nas X,690,0
Elley Duhï¿,240,1
Seafret,134,1
Baby Rasta  Rauw Alejandro,66,2
DJ Escobar  MC MENOR SG  MC MENOR HR,50,0
Dean Lewis,58,0
SZA,12,0
Joji,36,16
Central Cee,183,1
Bellakath,15,0
Skrillex  Flowdan  Fred again..,27,0
Travis Scott  21 Savage  Metro Boomin,12,0
Bad Bunny,164,4
Nicki Minaj,76,9
Kate Bush,676,3
Aerosmith,5,0
Freddie Dredd,17,0
Lost Frequencies  Calum Scott,557,17
Twisted  Oliver Tree,34,0
Ed Sheeran,945,15
Kenshi Yonezu,26,0
Omar Apollo,49,0
SZA,182,1
Dua Lipa  DaBaby,544,0
Doja Cat,463,4
Hotel Ugly,6,0
James Hype  Miggy Dela Rosa,175,0
Taylor Swift,20,0
Pritam  Arijit Singh  Amitabh Bhattacharya,4,0
Styrx  utku INC  Thezth,14,0
Maroon 5  Wiz Khalifa,1891,1
Mariah Carey,2094,0
Wham!,1302,0
Brenda Lee,206,0
Bobby Helms,104,0
Michael Bublï¿,549,0
Ariana Grande,439,0
Andy Williams,160,0
Dean Martin,277,0
Sia,500,0
Kelly Clarkson,251,0
Josï¿½ï¿½ Felic,10,0
Michael Bublï¿,291,0
Justin Bieber,310,0
The Ronettes,262,0
SZA,1,0
SZA,8,0
John Lennon  The Harlem Community Choir  The Plastic Ono Band  Yoko Ono,390,0
SZA  Don Toliver,3,0
Burl Ives,73,0
Nat King Cole,251,0
Paul McCartney,29,0
Band Aid,449,0
SZA  Phoebe Bridgers,4,0
SZA,3,0
Shakin Stevens,5,0
Frank Sinatra  B. Swanson Quartet,406,0
SZA,1,0
SZA  Travis Scott,17,0
Bing Crosby  John Scott Trotter & His Orchestra  Ken Darby Singers,123,0
Chris Rea,6,0
Darlene Love,212,0
SZA,2,0
SZA,1,0
SZA,0,0
Ed Sheeran  Elton John,141,0
Perry Como  The Fontane Sisters  Mitchell Ayres & His Orchestra,158,0
Britney Spears,286,0
Mabel Matiz  Mert Demir,7,1
RM,14,0
SZA,43,0
Travis Scott  Metro Boomin,10,0
ThxSoMch,18,0
Nat King Cole,41,0
SZA,3,0
SZA,2,0
Taylor Swift  Lana Del Rey,30,0
Taylor Swift,14,0
Dj LK da Escï¿½ï¿½cia  Tchakabum  mc jhenny  M,44,0
Taylor Swift,22,2
Bad Bunny  Jhay Cortez,22,2
Gwen Stefani  Blake Shelton,30,0
Chencho Corleone  Rauw Alejandro,128,7
SZA,2,0
Bad Bunny  Rauw Alejandro,37,3
Chuck Berry,52,0
Frank Sinatra,65,0
SZA,1,0
John Legend  Metro Boomin,6,0
Maldy  Karol G,57,3
Gayle,575,18
The Weeknd,133,0
The Weeknd,34,0
Lauren Spencer Smith  Lauren Spencer Smith  Lauren Spencer Smith,70,16
The Weeknd,62,0
Cherish  ACRAZE,465,0
Adassa  Mauro Castillo  Stephanie Beatriz  Encanto - Cast  Rhenzy Feliz  Diane Guerrero  Carolina Gaitan,44,0
Farruko,965,20
The Weeknd,15,0
The Weeknd,14,0
Jaymes Young,396,0
The Weeknd,61,0
The Weeknd,38,0
Olivia Rodrigo,461,1
The Weeknd  Tyler  The Creator,7,0
The Weeknd,14,0
SZA  Doja Cat,497,0
The Weeknd  Lil Wayne,9,0
Doja Cat,150,0
Lil Nas X,738,0
Ckay,262,14
The Weeknd,6,0
Jessica Darrow,20,0
The Weeknd,11,0
Lil Nas X,298,0
The Weeknd  Post Malone,75,0
Mï¿½ï¿½ne,964,9
Aitana  zzoilo,139,0
Julieta Venegas  Bad Bunny  Tainy,53,6
Lisa,131,0
Tiï¿½ï¿½sto  Ava,268,0
Billie Eilish,283,0
The Weeknd  Swedish House Mafia,284,2
Juan Cruz Toledo  Huilen Toledo,134,0
BoyWithUke,118,0
Olivia Rodrigo,485,0
Xamï¿½ï¿½  Gustah  Neo B,81,0
Taylor Swift,30,1
The Weeknd,6,0
Adele,199,0
Lit Killah  Maria Becerra  Tiago pzk  NICKI NICOLE,12,0
The Weeknd,2,0
Emmy Meli,107,0
Justin Quiles  Lenny Tavï¿½ï¿½rez  BL,57,1
Shawn Mendes,104,0
The Neighbourhood,93,0
Kodak Black,35,0
Aventura  Bad Bunny,133,0
Rauw Alejandro,268,6
Ckay  AXEL  Dj Yo!,57,0
Bruno Mars  Anderson .Paak  Silk Sonic,76,0
THE ANXIETY  Willow  Tyler Cole,90,0
The Weeknd,2,0
Sebastian Yatra,85,5
Justin Bieber  Daniel Caesar  Giveon,612,6
Bad Bunny  Jhay Cortez,525,9
Bizarrap  Tiago pzk,15,1
Stromae,394,0
Chris Brown  Rvssian  Rauw Alejandro,59,0
NEIKED  Mae Muller  Polo G,73,13
Oliver Tree,116,0
Kali Uchis  Amaarae  Moliy,70,0
BTS,223,0
Young Thug  Future  Gunna,43,0
Doja Cat  The Weeknd,100,0
Olivia Rodrigo,141,0
BTS,583,0
Jnr Choi,159,0
The Weeknd  Gesaffelstein,447,0
Trueno  Tiago pzk,21,0
Sech  Bad Bunny  Mora,70,1
Bruno Mars  Anderson .Paak  Silk Sonic,569,0
Drake  Project Pat  21 Savage,45,0
Tiï¿½ï¿½sto  Kar,187,1
Edison Lighthouse,54,0
The Weeknd  ROSALï¿½,507,6
Olga Merediz  Stephanie Beatriz  Encanto - Cast,12,0
The Weeknd,3,0
Sebastian Yatra,74,0
Surf Curse,121,0
Jason Derulo,182,1
The Neighbourhood,384,0
21 Savage  Gunna,5,0
IVE,11,0
24kgoldn  Iann Dior,636,0
Stephanie Beatriz  Diane Guerrero,8,0
Trueno,24,0
David Kushner,32,1
Olivia Rodrigo,105,0
Kanye West,105,0
Doja Cat,73,12
Lewis Capaldi,625,0
Playboi Carti,52,0
Adele,6280,2
Maluma,100,1
Ed Sheeran  Fireboy DML,154,0
Olivia Rodrigo,99,0
Prezioso  Gabry Ponte  LUM!X,259,0
Tiï¿½ï¿,582,0
Ariana Grande,95,0
Mï¿½ï¿½ne,434,3
Marï¿½ï¿½lia Mendonï¿½ï¿½a  George Henrique &,89,0
TWICE,44,0
Giveon,210,0
Sean Paul  Dua Lipa,1219,0
Charli XCX  Jax Jones  Joel Corry  Saweetie,201,0
SALES,50,0
Sleepy hallow,44,0
Billie Eilish,250,0
Billie Eilish,38,0
Masked Wolf,478,0
Anuel Aa  Jhay Cortez,38,0
NIKI,5,0
Bruno Mars,862,0
Tate McRae,318,0
Avicii,1282,0
The Weeknd,344,0
Drake  Future  Young Thug,86,0
Rauw Alejandro,39,0
Imagine Dragons  League of Legends  Arcane,8,2
Tones and I,3595,6
Juice WRLD,710,0
J Balvin  Maria Becerra,131,0
John Legend,4534,2
Nirvana,12367,4
Duncan Laurence,584,1
Drake  Travis Scott,96,0
Tini  L-Gante,0,0
SiM,23,0
Kendrick Lamar  Baby Keem,63,0
The Killers,5063,2
ENHYPEN,10,0
J Balvin  Nio Garcia  Bad Bunny,67,1
Doja Cat,179,0
Lady Gaga  Bradley Cooper,2854,6
ENHYPEN,17,0
Marshmello  Jonas Brothers,110,0
BTS,74,0
Riton  Nightcrawlers  Mufasa & Hypeman  Dopamine,710,0
Polo G,78,0
Eminem  Nate Dogg,2515,1
Maroon 5,1066,1
Arcangel  De La Ghetto  Justin Quiles  Lenny Tavï¿½ï¿½rez  Sech  Dalex  Dimelo Flow  Rich Music,0,0
Gunna  Lil Baby,3,0
Katy Perry  Alesso,65,0
Marï¿½ï¿½lia Mendonï¿½ï¿½a  Maiara &,93,0
Tini  Maria Becerra,70,1
Anuel Aa  Myke Towers  Jhay Cortez,15,0
Karol G  Becky G,175,5
Dr. Dre  Snoop Dogg,6591,1
Jung Kook,20,0
Dove Cameron,102,0
Ed Sheeran  Taylor Swift,34,0
Dr. Dre  Snoop Dogg,5451,1
Charlie Puth,85,1
Kanye West  Alicia Keys  Fivio Foreign,30,0
Mahmood  Blanco,31,0
Frank Ocean,587,0
50 Cent,5221,1
Tate McRae,51,0
Yung Lean,113,1
Labrinth  Zendaya,7,0
The Rare Occasions,65,0
Labrinth,102,0
Labrinth,80,0
Intense  AP Dhillon  Gurinder Gill,2,0
Juice WRLD,10,0
Quevedo  La Pantera  Juseph  Cruz Cafunï¿½ï¿½  Bï¿½ï¿½jo  Abhir Hathi,12,0
Dr. Dre  2Pac  Roger,1663,0
Eminem  Dr. Dre,1674,0
Luude  Colin Hay,50,1
Ryan Castro,91,0
Kendrick Lamar,1481,0
Eminem  Dido,4180,0
GODZZ__-  Zakaria,398,0
Chase Atlantic,62,0
Bad Bunny,40,0
Em Beihold,42,12
Mainstreet  Chefin,39,0
Alvaro Diaz  Rauw Alejandro,15,0
Nicki Minaj  Lil Baby,14,0
Future,24,0
Zï¿½ï¿½ Fe,64,0
Muni Long,46,13
Vundabar,28,0
Ed Sheeran,3895,0
Labrinth,266,0
V,6,0
Marï¿½ï¿½lia Mendonï¿½ï¿½a  Hugo & G,93,1
Labrinth,66,0
Nicki Minaj  Lil Baby,26,0
Labrinth,138,0
Eminem  Dr. Dre,29,0
Shawn Mendes  Camila Cabello,1785,1
Tyler  The Creator,55,0
Harry Styles,519,2
Daddy Yankee  Bad Bunny,100,0
Nirvana,1197,0
Dua Lipa  Megan Thee Stallion,51,11
Camila Cabello  Ed Sheeran,492,9
Cris Mj,53,1
Anitta,180,1
Dave,31,1
Tulus,0,0
Labrinth,58,0
Mc Pedrinho  Pedro Sampaio,99,1
Zion & Lennox,0,0
Residente  Bizarrap,13,0
Ryan Castro,35,1
Jack Harlow,24,0
Eden Muï¿½ï,13,1
Treasure,7,0
Christian Nodal,32,7
Kevin Gates  Juicy J,14,0
Tyga  Doja Cat,19,0
JVKE,43,0
Bad Bunny,15,0
Queen,5691,8
XXXTENTACION,267,0
Dua Lipa,531,1
Avicii,6284,1
Olivia Rodrigo,70,0
YEAT,12,0
C. Tangana,11,0
The Chainsmokers  Coldplay,2692,3
The Chainsmokers  Halsey,2179,0
NMIXX,10,0
Gotye  Kimbra,6508,1
AnnenMayKantereit  Giant Rooks,50,0
Jack Harlow,137,15
Paulo Londra,19,0
Danny Ocean,43,1
Daddy Yankee  Bad Bunny,32,0
Shawn Mendes,44,0
Lil Tjay,31,0
Willow,250,3
IVE,13,0
Feid  Alejo  Robi,30,0
Paulo Londra,7,0
Demi Lovato,577,0
Camila Cabello  Willow,52,0
Troye Sivan,32,0
Matuï¿½ï¿½  Wiu  ,39,0
De La Ghetto  Duki  Quevedo,11,0
Lil Baby,15,0
Ak4:20  Cris Mj  Pailita,4,0
Charlie Puth,12,0
Yahritza Y Su Esencia,4,0
Daddy Yankee,52,0
Luï¿½ï¿½sa Sonza  MC Frog  Dj Gabriel do Borel  Davi K,49,0
Harry Styles,254,0
Ed Sheeran  J Balvin,60,0
teto,31,0
Stray Kids,20,0
Shawn Mendes,1370,2
Blackbear  BoyWithUke,13,0
Harry Styles,200,0
Pharrell Williams  Nile Rodgers  Daft Punk,8215,0
Doja Cat,46,0
Jordan Fisher  Josh Levi  Finneas OConnell  4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red)  Topher Ngo  Grayson Vill,30,0
BIGBANG,7,0
Ed Sheeran,2453,0
Justin Bieber,2430,0
Kendrick Lamar,65,0
Lizzo,272,21
Kendrick Lamar  Blxst  Amanda Reifer,32,0
Bad Bunny,24,0
Bad Bunny,13,1
Kendrick Lamar,12,0
Kendrick Lamar  Sampha,22,0
Bad Bunny,11,0
Kendrick Lamar,33,0
Post Malone  Roddy Ricch,43,0
Bad Bunny,22,1
Kendrick Lamar  Kodak Black,23,0
Tony Dize  Bad Bunny,18,1
Kendrick Lamar,13,0
Buscabulla  Bad Bunny,13,1
Bad Bunny,11,0
Kendrick Lamar  Taylour Paige,6,0
Kendrick Lamar  Sam Dew  Baby Keem,8,0
Bad Bunny,9,0
Bad Bunny  The Marï¿½ï,13,0
