Artista,in_spotify_playlists,in_spotify_charts
"Latto, Jung Kook",553,147
Myke Towers,1474,48
Olivia Rodrigo,1397,113
Taylor Swift,7858,100
Bad Bunny,3133,50
"Dave, Central Cee",2186,91
"Eslabon Armado, Peso Pluma",3090,50
Quevedo,714,43
Gunna,1096,83
"Peso Pluma, Yng Lvcas",2953,44
"Bad Bunny, Grupo Frontera",2876,40
NewJeans,422,55
Miley Cyrus,12211,115
David Kushner,3528,98
Harry Styles,23575,130
SZA,8109,77
Fifty Fifty,2942,77
Billie Eilish,873,104
"Feid, Young Miko",2610,40
Jimin,596,68
"Gabito Ballesteros, Junior H, Peso Pluma",332,26
Taylor Swift,516,38
Arctic Monkeys,12859,110
"Bizarrap, Peso Pluma",1313,40
"The Weeknd, Madonna, Playboi Carti",1945,87
Fuerza Regida,250,26
"Rï¿½ï¿½ma, Selena G",7112,77
"Tainy, Bad Bunny",859,40
Morgan Wallen,2420,19
Dua Lipa,2988,101
Troye Sivan,864,78
"Peso Pluma, Grupo Frontera",266,34
"The Weeknd, 21 Savage, Metro Boomin",6036,88
Taylor Swift,9082,56
"Karol G, Shakira",4284,49
"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",1150,31
"Yahritza Y Su Esencia, Grupo Frontera",672,34
Taylor Swift,11434,53
Taylor Swift,7830,42
Fuerza Regida,584,28
"Junior H, Peso Pluma",692,25
"Post Malone, Swae Lee",24094,78
"Bebe Rexha, David Guetta",12482,80
"Tyler, The Creator, Kali Uchis",13387,64
"Nicki Minaj, Aqua, Ice Spice",1117,80
Miley Cyrus,3372,19
OneRepublic,8431,76
The Weeknd,2483,59
"The Weeknd, Daft Punk",29536,79
"Ariana Grande, The Weeknd",3408,47
"Feid, Myke Towers, Sky Rompiendo",1298,38
"David Guetta, Anne-Marie, Coi Leray",4277,66
Karol G,1133,39
Peggy Gou,2259,59
Tom Odell,18371,83
The Weeknd,43899,69
Kali Uchis,2649,42
Manuel Turizo,6804,45
Karol G,525,41
Taylor Swift,7923,29
"dennis, MC Kevin o Chris",731,15
"PinkPantheress, Ice Spice",5184,41
"Charlie Puth, BTS, Jung Kook",3107,39
"Rauw Alejandro, ROSALï¿½",4053,50
"Ozuna, Feid",4637,38
Chris Molitor,31358,43
Taylor Swift,3818,23
Libianca,3506,56
Post Malone,410,36
Taylor Swift,148,24
"Rauw Alejandro, Bizarrap",1004,35
Glass Animals,22543,63
JVKE,4511,36
The Neighbourhood,16413,61
"Bizarrap, Quevedo",8506,45
Coldplay,33898,62
d4vd,3246,23
"Sam Smith, Kim Petras",8576,42
"Yandel, Feid",3618,38
Maria Becerra,370,20
Vance Joy,31123,55
"Em Beihold, Stephen Sanchez",2790,30
"Mc Livinho, DJ Matt D",267,9
Taylor Swift,139,17
"Justin Bieber, The Kid Laroi",17050,36
"Marshmello, Manuel Turizo",2114,44
Lewis Capaldi,17836,53
"Chencho Corleone, Bad Bunny",8870,43
Jain,6060,53
"Ayparia, unxbected",641,50
Luke Combs,1446,12
Doechii,804,25
"Bad Bunny, Eladio Carrion",1962,38
Taylor Swift,4875,23
Jung Kook,31,39
"J. Cole, Lil Durk",2175,23
Lana Del Rey,2000,46
SZA,2839,25
Lana Del Rey,20333,52
BTS,674,47
Taylor Swift,8448,23
"Future, Metro Boomin, Don Toliver",2110,58
Post Malone,2528,39
Eminem,12985,61
NewJeans,77,35
Carin Leon,266,27
"Dua Lipa, Elton John, Pnau",21097,52
Ruth B.,3423,21
Imagine Dragons,4198,44
Adele,14739,43
"Kendrick Lamar, Jay Rock",26792,32
Anggi Marito,213,6
"Jasiel Nuï¿½ï¿½ez, Peso P",58,18
Taylor Swift,99,15
Tears For Fears,41751,25
J. Cole,21164,36
Loreen,2988,59
"Taiu, Milo j",893,38
"Sebastian Yatra, Manuel Turizo, Beï¿½ï",1094,34
Taylor Swift,7324,22
"Junior H, Peso Pluma",201,11
"Calvin Harris, Ellie Goulding",5120,48
Sabrina Carpenter,2346,27
"Carin Leon, Grupo Frontera",763,26
Peso Pluma,457,24
Feid,3430,38
"Ray Dalton, Ryan Lewis, Macklemore",6074,52
Harry Styles,21915,34
"Billie Eilish, Khalid",15032,30
"Rauw Alejandro, Bizarrap",871,32
(G)I-DLE,451,33
NewJeans,1783,27
Lana Del Rey,9389,46
"Shakira, Bizarrap",5724,44
Arctic Monkeys,13985,25
