lats,lons
14.17,-117.34
14.17,-117.3
14.17,-117.25
14.17,-117.2
14.17,-117.16
14.17,-117.12
14.17,-117.07
14.17,-117.03
14.17,-116.98
14.17,-116.94
14.17,-116.89
14.17,-116.84
14.17,-116.8
14.17,-116.76
14.17,-116.71
14.17,-116.67
14.17,-116.62
14.17,-116.58
14.17,-116.53
14.17,-116.48
14.17,-116.44
14.17,-116.4
14.17,-116.35
14.17,-116.31
14.17,-116.26
14.17,-116.22
14.17,-116.17
14.17,-116.12
14.17,-116.08
14.17,-116.03
14.17,-115.99
14.17,-115.95
14.17,-115.9
14.17,-115.86
14.17,-115.81
14.17,-115.77
14.17,-115.72
14.17,-115.67
14.17,-115.63
14.17,-115.59
14.17,-115.54
14.17,-115.5
14.17,-115.45
14.17,-115.41
14.17,-115.36
14.17,-115.31
14.17,-115.27
14.17,-115.23
14.17,-115.18
14.17,-115.14
14.17,-115.09
14.17,-115.05
14.17,-115.0
14.17,-114.95
14.17,-114.91
14.17,-114.87
14.17,-114.82
14.17,-114.78
14.17,-114.73
14.17,-114.69
14.17,-114.64
14.17,-114.59
14.17,-114.55
14.17,-114.51
14.17,-114.46
14.17,-114.42
14.17,-114.37
14.17,-114.33
14.17,-114.28
14.17,-114.23
14.17,-114.19
14.17,-114.15
14.17,-114.1
14.17,-114.06
14.17,-114.01
14.17,-113.97
14.17,-113.92
14.17,-113.88
14.17,-113.83
14.17,-113.78
14.17,-113.74
14.17,-113.7
14.17,-113.65
14.17,-113.61
14.17,-113.56
14.17,-113.52
14.17,-113.47
14.17,-113.42
14.17,-113.38
14.17,-113.34
14.17,-113.29
14.17,-113.25
14.17,-113.2
14.17,-113.16
14.17,-113.11
14.17,-113.06
14.17,-113.02
14.17,-112.98
14.17,-112.93
14.17,-112.89
14.17,-112.84
14.17,-112.8
14.17,-112.75
14.17,-112.7
14.17,-112.66
14.17,-112.62
14.17,-112.57
14.17,-112.53
14.17,-112.48
14.17,-112.44
14.17,-112.39
14.17,-112.34
14.17,-112.3
14.17,-112.26
14.17,-112.21
14.17,-112.17
14.17,-112.12
14.17,-112.08
14.17,-112.03
14.17,-111.98
14.17,-111.94
14.17,-111.9
14.17,-111.85
14.17,-111.81
14.17,-111.76
14.17,-111.72
14.17,-111.67
14.17,-111.62
14.17,-111.58
14.17,-111.53
14.17,-111.49
14.17,-111.45
14.17,-111.4
14.17,-111.36
14.17,-111.31
14.17,-111.27
14.17,-111.22
14.17,-111.17
14.17,-111.13
14.17,-111.09
14.17,-111.04
14.17,-111.0
14.17,-110.95
14.17,-110.91
14.17,-110.86
14.17,-110.81
14.17,-110.77
14.17,-110.73
14.17,-110.68
14.17,-110.64
14.17,-110.59
14.17,-110.55
14.17,-110.5
14.17,-110.45
14.17,-110.41
14.17,-110.37
14.17,-110.32
14.17,-110.28
14.17,-110.23
14.17,-110.19
14.17,-110.14
14.17,-110.09
14.17,-110.05
14.17,-110.01
14.17,-109.96
14.17,-109.92
14.17,-109.87
14.17,-109.83
14.17,-109.78
14.17,-109.73
14.17,-109.69
14.17,-109.65
14.17,-109.6
14.17,-109.56
14.17,-109.51
14.17,-109.47
14.17,-109.42
14.17,-109.38
14.17,-109.33
14.17,-109.28
14.17,-109.24
14.17,-109.2
14.17,-109.15
14.17,-109.11
14.17,-109.06
14.17,-109.02
14.17,-108.97
14.17,-108.93
14.17,-108.88
14.17,-108.84
14.17,-108.79
14.17,-108.75
14.17,-108.7
14.17,-108.66
14.17,-108.61
14.17,-108.56
14.17,-108.52
14.17,-108.48
14.17,-108.43
14.17,-108.39
14.17,-108.34
14.17,-108.3
14.17,-108.25
14.17,-108.2
14.17,-108.16
14.17,-108.12
14.17,-108.07
14.17,-108.03
14.17,-107.98
14.17,-107.94
14.17,-107.89
14.17,-107.84
14.17,-107.8
14.17,-107.76
14.17,-107.71
14.17,-107.67
14.17,-107.62
14.17,-107.58
14.17,-107.53
14.17,-107.48
14.17,-107.44
14.17,-107.4
14.17,-107.35
14.17,-107.31
14.17,-107.26
14.17,-107.22
14.17,-107.17
14.17,-107.12
14.17,-107.08
14.17,-107.03
14.17,-106.99
14.17,-106.95
14.17,-106.9
14.17,-106.86
14.17,-106.81
14.17,-106.77
14.17,-106.72
14.17,-106.68
14.17,-106.63
14.17,-106.59
14.17,-106.54
14.17,-106.5
14.17,-106.45
14.17,-106.41
14.17,-106.36
14.17,-106.31
14.17,-106.27
14.17,-106.23
14.17,-106.18
14.17,-106.14
14.17,-106.09
14.17,-106.05
14.17,-106.0
14.17,-105.95
14.17,-105.91
14.17,-105.87
14.17,-105.82
14.17,-105.78
14.17,-105.73
14.17,-105.69
14.17,-105.64
14.17,-105.59
14.17,-105.55
14.17,-105.51
14.17,-105.46
14.17,-105.42
14.17,-105.37
14.17,-105.33
14.17,-105.28
14.17,-105.23
14.17,-105.19
14.17,-105.15
14.17,-105.1
14.17,-105.06
14.17,-105.01
14.17,-104.97
14.17,-104.92
14.17,-104.88
14.17,-104.83
14.17,-104.78
14.17,-104.74
14.17,-104.7
14.17,-104.65
14.17,-104.61
14.17,-104.56
14.17,-104.52
14.17,-104.47
14.17,-104.43
14.17,-104.38
14.17,-104.34
14.17,-104.29
14.17,-104.25
14.17,-104.2
14.17,-104.16
14.17,-104.11
14.17,-104.06
14.17,-104.02
14.17,-103.98
14.17,-103.93
14.17,-103.89
14.17,-103.84
14.17,-103.8
14.17,-103.75
14.17,-103.7
14.17,-103.66
14.17,-103.62
14.17,-103.57
14.17,-103.53
14.17,-103.48
14.17,-103.44
14.17,-103.39
14.17,-103.34
14.17,-103.3
14.17,-103.26
14.17,-103.21
14.17,-103.17
14.17,-103.12
14.17,-103.08
14.17,-103.03
14.17,-102.98
14.17,-102.94
14.17,-102.9
14.17,-102.85
14.17,-102.81
14.17,-102.76
14.17,-102.72
14.17,-102.67
14.17,-102.62
14.17,-102.58
14.17,-102.53
14.17,-102.49
14.17,-102.45
14.17,-102.4
14.17,-102.36
14.17,-102.31
14.17,-102.27
14.17,-102.22
14.17,-102.18
14.17,-102.13
14.17,-102.09
14.17,-102.04
14.17,-102.0
14.17,-101.95
14.17,-101.91
14.17,-101.86
14.17,-101.81
14.17,-101.77
14.17,-101.73
14.17,-101.68
14.17,-101.64
14.17,-101.59
14.17,-101.55
14.17,-101.5
14.17,-101.45
14.17,-101.41
14.17,-101.37
14.17,-101.32
14.17,-101.28
14.17,-101.23
14.17,-101.19
14.17,-101.14
14.17,-101.09
14.17,-101.05
14.17,-101.0
14.17,-100.96
14.17,-100.92
14.17,-100.87
14.17,-100.83
14.17,-100.78
14.17,-100.73
14.17,-100.69
14.17,-100.65
14.17,-100.6
14.17,-100.56
14.17,-100.51
14.17,-100.47
14.17,-100.42
14.17,-100.38
14.17,-100.33
14.17,-100.28
14.17,-100.24
14.17,-100.2
14.17,-100.15
14.17,-100.11
14.17,-100.06
14.17,-100.02
14.17,-99.97
14.17,-99.93
14.17,-99.88
14.17,-99.84
14.17,-99.79
14.17,-99.75
14.17,-99.7
14.17,-99.66
14.17,-99.61
14.17,-99.56
14.17,-99.52
14.17,-99.48
14.17,-99.43
14.17,-99.39
14.17,-99.34
14.17,-99.3
14.17,-99.25
14.17,-99.21
14.17,-99.16
14.17,-99.12
14.17,-99.07
14.17,-99.03
14.17,-98.98
14.17,-98.94
14.17,-98.89
14.17,-98.84
14.17,-98.8
14.17,-98.75
14.17,-98.71
14.17,-98.67
14.17,-98.62
14.17,-98.58
14.17,-98.53
14.17,-98.48
14.17,-98.44
14.17,-98.4
14.17,-98.35
14.17,-98.31
14.17,-98.26
14.17,-98.22
14.17,-98.17
14.17,-98.12
14.17,-98.08
14.17,-98.03
14.17,-97.99
14.17,-97.95
14.17,-97.9
14.17,-97.86
14.17,-97.81
14.17,-97.77
14.17,-97.72
14.17,-97.68
14.17,-97.63
14.17,-97.59
14.17,-97.54
14.17,-97.5
14.17,-97.45
14.17,-97.41
14.17,-97.36
14.17,-97.31
14.17,-97.27
14.17,-97.23
14.17,-97.18
14.17,-97.14
14.17,-97.09
14.17,-97.05
14.17,-97.0
14.17,-96.96
14.17,-96.91
14.17,-96.87
14.17,-96.82
14.17,-96.78
14.17,-96.73
14.17,-96.69
14.17,-96.64
14.17,-96.59
14.17,-96.55
14.17,-96.5
14.17,-96.46
14.17,-96.42
14.17,-96.37
14.17,-96.33
14.17,-96.28
14.17,-96.23
14.17,-96.19
14.17,-96.15
14.17,-96.1
14.17,-96.06
14.17,-96.01
